codigo;filial;rota;m-4;m-3;m-2;m-1;forecast;estoque_in;estoque_livre;compras;transferencias;estoque_total;cmv
141823;1009;1009;0;0;0;0;0;0;0;0;0;0;0
141823;1006;1006;50;126;1269;140;619;911;911;1500;0;2411;49.32
141823;1003;1036->1003;0;0;0;0;0;90;90;0;0;90;38.79
141823;1002;1002;0;0;0;0;0;200;200;0;0;200;49.44
141823;1001;1001;0;0;0;0;0;0;0;0;0;0;0
141890;1036;1036;0;0;0;0;0;2;0;0;0;2;11.01
141890;1023;1036->1023;0;0;0;0;0;3;3;0;0;3;10.44
141890;1009;1009;0;0;0;0;0;0;0;0;0;0;0
141890;1006;1003->1006;0;0;0;0;2;3;3;0;0;3;10.44
141890;1001;1003->1001;0;0;0;0;0;0;0;0;0;0;0
142004;1006;1006;0;0;0;0;0;8;8;0;0;8;36.16
142009;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142010;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142011;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142012;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142060;1036;1036;0;0;0;0;0;12;12;0;0;12;14.92
